,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,PR,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
FY 2021*,"1,338",3,463,544,"7,596",752,989,376,209,"7,986","3,003",15,62,"1,152","1,059",479,494,735,"1,991",44,"3,801","1,772",302,702,498,532,18,633,313,41,"3,964",79,"6,009","3,010",8,"1,204",658,329,"1,383",0,328,"1,216",159,"2,979","10,826",218,6,"3,710",754,39,369,15
FY 2020,598,3,322,272,6268,379,412,178,294,4059,1350,4,11,462,366,277,289,364,1043,11,2957,1077,160,320,237,234,2,355,229,27,2268,46,3938,1290,3,584,267,170,501,0,234,483,81,1066,5391,99,0,2888,494,23,94,14
FY 2019,736,0,258,193,4675,313,332,222,138,4131,1261,1,28,475,394,238,305,370,931,22,1723,814,136,294,299,203,3,374,132,20,1877,43,2845,1110,2,547,286,200,563,1,235,508,96,1173,4136,97,2,1650,435,23,98,15
FY 2018,1111,4,493,359,8447,714,959,383,322,7408,2558,16,62,863,794,489,453,710,1966,26,4671,1756,248,624,482,431,0,563,324,25,4236,89,6367,2522,10,1091,581,318,1229,3,453,1012,149,2191,9900,179,6,4215,723,41,246,15
FY 2017,247,0,162,87,2225,172,260,107,48,1523,559,6,19,211,209,119,95,158,355,11,825,448,74,151,108,93,2,130,79,8,921,34,1663,610,1,260,120,71,271,3,92,255,44,510,2336,75,1,770,237,4,62,6
,us-AL,us-AK,us-AZ,us-AR,us-CA,us-CO,us-CT,us-DE,us-DC,us-FL,us-GA,us-HI,us-ID,us-IL,us-IN,us-IA,us-KS,us-KY,us-LA,us-ME,us-MD,us-MA,us-MI,us-MN,us-MS,us-MO,us-MT,us-NE,us-NV,us-NH,us-NJ,us-NM,us-NY,us-NC,us-ND,us-OH,us-OK,us-OR,us-PA,us-PR,us-RI,us-SC,us-SD,us-TN,us-TX,us-UT,us-VT,us-VA,us-WA,us-WV,us-WI,us-WY
,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.01102510583,0,0.002300500405,0.005965828001,0.006815859435,0.00471695392,0.01066757937,0.01373274067,0.009241717111,0.01296447865,0.01033240329,0.0003555100503,0.001236477373,0.003397160435,0.00553950438,0.005145244248,0.005964574541,0.00631595909,0.01694401688,0.001845669542,0.02237267032,0.009143202369,0.001070810925,0.004871724685,0.006775873978,0.003144736667,0.0002764966765,0.01265371445,0.002919216796,0.001093132722,0.01656427615,0.001377668937,0.01203628128,0.009961665344,0,0.003627945871,0.00611460933,0.00312395164,0.00362383273,0,0.009797373362,0.007882027273,0.007361298087,0.01599882493,0.01313137962,0.001963287135,0.0006417960019,0.01557417871,0.003770709564,0.001074746346,0.00211875629,0.001032568945
